Олег, это был тяжелый год. 	Мы с тобой еще не раз провернем такое, что все завидовать будут! 
Дарья! Поздравляю нашего лучшего бухгалтера!	Твои цифры всегда в точности и правильности. Давай выпьем за то, чтобы никто не узнал, как ты их считала!
Счастья и радости тебе в Новом году!	Давай постараемся улучшить мир, как будто это наш последний год!
Илья, ты лучший коллега!	Никогда не сдавайся! Даже если следующий год будет еще хуже!
Саня, так держать!	Давай поднимем тост за то, чтобы багов было поменьше, а денег было больше!
Ирина, с Новым годом!	Пусть твой 2023 будет хотя бы немного приятнее чем 2022. 
С НГ!	Говорят краткость — сестра таланта, вот, решил проверить. Классно же, лаконично!
Ой, а кто это у нас тут такой без поздравления? 	Немедленно исправляем это. С Новым годом!
Здрав будь, боярин!	Пусть годы идут, а в палатах твоих будет также мед рекой литься.
В этом году было сложно.	Поэтому постарайся как следует отдохнуть, чтобы в 2023 тебя ничего не мозло выбить из колеи. 
Миша, ты знаешь как сложно придумать что-то оригинальное?	Но для тебя постарались. Пусть твой Новый год будет таким же нежным и приятным, как сливочный крем в круассанах Самоката. 
Поздравления придумывать — это вам не за компуктером сидеть, тут мозги нужны!	На самом деле это шутка. Чем бы ты не занимался в Самокате — тебе тут рады. С Новым годом!
Привет, человек! С Новым годом тебя!	Это говорю я, алгоритм, сгенеривший это поздравление. Вообще я в крупном банке работаю, деньги считаю, а эти поздравления — это так, для души.
Привет! Решили поздравить тебя с Новым годом по-особенному и пожелать того, чего так не хватало в этом году.	Пусть в 2023 у тебя будет нормальный сервис для рабочей почты, нормальный софт для созвонов и тебе не пришлось писать в сервисдеск.
С Новым годом тебя!	Пусть твой 2023 будет таким же классным, как бургеры от Сережи Землянского!
Как там в песне: «Новый год к нам мчится, скоро все случится».	Но что именно случится — в песне не уточняется. Значит придется сделать это тут. Пусть в 2023 у тебя случится исполнение мечт! Хотя бы одной.
Привет и с Новым годом!	Я бы обнял тебя сейчас, но я просто текст.
Счастья, здоровья, живите богато!	Подскочил кабанчиком, обнял, приподнял, за стол новогодний усадил, икрой накормил!
